trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
687,False,"{'a': 0.5, 'e': 0.03194894136654701}",20,12,13.069037568914938,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.5, 'e': 0.031789196659714275}",30,8,31.7073812511464,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
689,False,"{'a': 0.5, 'e': 0.0316302506764157}",25,8,32.23036396958348,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.5, 'e': 0.031472099423033625}",25,17,17.628594262078106,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.5, 'e': 0.031314738925918455}",20,5,27.778207539699103,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'a': 0.5, 'e': 0.031158165231288865}",20,13,-1.1379938558977742,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
693,False,"{'a': 0.5, 'e': 0.03100237440513242}",20,7,25.52560598771816,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.5, 'e': 0.030847362533106756}",25,8,34.044599849325515,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
695,False,"{'a': 0.5, 'e': 0.030693125720441222}",25,13,21.242344771968927,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.5, 'e': 0.030539660091839015}",20,11,-24.29585445017334,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
697,False,"{'a': 0.5, 'e': 0.03038696179137982}",20,0,33.03388780282157,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
698,False,"{'a': 0.5, 'e': 0.030235026982422922}",20,0,23.996072794935763,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
699,False,"{'a': 0.5, 'e': 0.030083851847510806}",20,3,28.978101737906425,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.5, 'e': 0.029933432588273252}",30,10,35.376086600379935,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.5, 'e': 0.029783765425331888}",20,11,14.782293274972618,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.5, 'e': 0.029634846598205228}",20,12,14.191307439375255,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.5, 'e': 0.0294866723652142}",20,11,18.53910182198057,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.5, 'e': 0.02933923900338813}",20,0,30.861614196989773,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
705,False,"{'a': 0.5, 'e': 0.029192542808371188}",30,17,25.510012937951547,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
